diag: SII-NII  NII-OIII  SII-OIII  OI-OIII   NII-OI  OII-OIII  NII-OII  SII-OI  OI-OII  SII-OII
a30   -0.043     0        0.079      0.465   -2.159   -0.008     0       0.461   0.701   -0.403
a21    0.175     0        0.148      0.245    4.249    0.416     0       2.197   4.291   -0.511
a20   -0.257     0       -1.821     -0.432   -0.874    1.952     0      -0.089  -0.842   -0.575
a12    0.029     0       -0.318      1.067    0.067   -0.616     0      -1.036   0.124   -0.225
a11   -2.452     0       -0.781     -0.887    4.330   -1.133     0       1.932   3.095   -0.332
a10    2.244   0.939      4.660     -0.701   -0.0007   4.591     1.262  -0.449   0.719    4.283
a03   -0.217     0        0.255      0.049    1.162    0.347     0       1.446   0.432    1.185
a02    1.388     0       -0.479     -1.610    1.263    1.344     0       1.371  -1.170    0.981
a01    1.116   1.000      4.433      2.096    0.382    3.356     1.000   0.145  -2.274   -0.283
a00    2.763   0.469      3.403      2.710    1.285   -2.904     0.581   1.218   5.017    2.777
