diag: NII-SII-OIII  NII-SII-OI   NII-SII-OII   NII-OII-OIII    NII-OI-OII    NII-OI-OIII    SII-OI-OII   SII-OII-OIII   SII-OI-OIII   OI-OII-OIII
a300  -2.913         0.025        -0.140         -1.704         -1.085        -1.082         0.042          -0.151        -0.598        0.768
a201  -0.638         0.253        -0.388         -0.879         -0.268         0.195        -1.707          -0.501         0.403       -0.419   
a210   1.568         0.250         0.231          8.080          3.986         1.873         0.359           0.713        -0.896        1.134
a200   0.407        -0.350         1.460         -1.549          0.863         0.027        -0.172          -3.181         0.873       -0.166
a102  -0.866         0.196         0.067         -3.772          4.071         2.230         0.762          -0.304        -1.329        1.842
a111  -2.264         0.379        -0.460         -0.877         -2.792        -3.680        -2.236           1.194        -3.664       -2.650
a101   1.508         0.149         2.639          0.788          3.889        -0.428         1.342          -0.421         1.687       -0.174
a120   1.753         0.127         0.283         -0.372          0.609         1.281        -0.096          -1.869         1.766       -1.075
a110  -6.913        -0.795        -2.699          3.313          6.108         2.433         2.439           2.946         0.285        0.932
a100   0.001        -1.821        -0.610          7.034         -3.186        -1.752        -2.305           3.761        -1.227       -0.871
a003   1.463         0.223         0.361          3.011          0.139         1.842         0.266           2.156         1.874        0.964
a012  -1.325         0.014         0.141         -2.641         -0.459         1.837        -0.094          -0.354         2.312       -0.771
a002  -2.732        -0.804         0.283         -2.798         -0.768        -1.213        -0.747          -3.318        -1.495       -1.476
a021   1.823        -0.021         0.098          1.264          4.849         0.477         5.000           1.078         1.356        0.185
a011  -2.697         0.658        -1.050         -1.968          1.608        -2.307         2.587           1.088        -1.854        2.248
a001   4.377         0.214         1.626          5.176         -1.437         1.400        -1.758           4.722         1.197        0.824
a030  -1.585        -0.002        -0.055          0.576          0.326         0.590         0.826           2.269         0.696        0.452
a020   0.770         0.151        -0.038          2.729         -2.053         0.386        -1.274           1.467         0.815       -0.554
a010   1.267        -1.822         2.202         -1.199          1.578        -0.862         1.213          -3.676        -1.357       -2.228
a000   2.413         2.382         1.520          3.478          3.734         0.567         4.108           4.974         0.303        3.070
